datetime,channel,model,learning_method,RMSE,PC
2022-07-10T14:54:19Z,socmed,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T14:54:19Z,socmed,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T14:54:19Z,socmed,A: shares ~ weekday + selected numeric vars,Linear_Regression,4118.489537,PC2
2022-07-10T14:54:19Z,socmed,A: shares ~ weekday + selected numeric vars,Boosted_Tree,4120.786613,PC2
2022-07-10T14:54:19Z,socmed,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,4126.635916,PC2
2022-07-10T14:54:19Z,socmed,B: shares ~ is_weekend + all numeric vars,Linear_Regression,4179.68235,PC2
2022-07-10T14:55:15Z,misc,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T14:55:15Z,misc,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T14:55:15Z,misc,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,23686.28509,PC2
2022-07-10T14:55:15Z,misc,A: shares ~ weekday + selected numeric vars,Linear_Regression,23698.14511,PC2
2022-07-10T14:55:15Z,misc,A: shares ~ weekday + selected numeric vars,Boosted_Tree,23724.42715,PC2
2022-07-10T14:55:15Z,misc,B: shares ~ is_weekend + all numeric vars,Linear_Regression,23740.76249,PC2
2022-07-10T14:56:29Z,world,B: shares ~ is_weekend + all numeric vars,Linear_Regression,3674.695808,PC2
2022-07-10T14:56:29Z,world,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,3676.524597,PC2
2022-07-10T14:56:29Z,world,A: shares ~ weekday + selected numeric vars,Linear_Regression,3697.256102,PC2
2022-07-10T14:56:29Z,world,A: shares ~ weekday + selected numeric vars,Boosted_Tree,3748.142497,PC2
2022-07-10T14:56:29Z,world,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
